Metro Area,State,0_kids,1_kids,2_kids,3_kids,0_kids_year,1_kids_year,2_kids_year,3_kids_year
Anchorage,AK,16.11,31.76,39.98,53.84,33508.8,66060.8,83158.4,111987.2
Fairbanks,AK,16.24,33.54,42.66,57.79,33779.2,69763.2,88732.8,120203.2
Anniston-Oxford-Jacksonville,AL,14.54,27.98,34.25,44.33,30243.2,58198.4,71240,92206.4
Auburn-Opelika,AL,15.31,29.78,37.13,48.53,31844.8,61942.4,77230.4,100942.4
Birmingham-Hoover,AL,17.09,31.22,38.52,50.28,35547.2,64937.6,80121.6,104582.4
Daphne-Fairhope-Foley,AL,16.22,30.25,37.38,49.07,33737.6,62920,77750.4,102065.6
Decatur_one,AL,14.73,29.03,36.45,47.65,30638.4,60382.4,75816,99112
Dothan,AL,14.93,27.8,34.07,44.13,31054.4,57824,70865.6,91790.4
Florence-Muscle Shoals,AL,14.84,29.31,36.73,47.78,30867.2,60964.8,76398.4,99382.4
Gadsden,AL,15.07,27.66,33.65,43.2,31345.6,57532.8,69992,89856
Huntsville,AL,15.3,29.83,37.25,48.82,31824,62046.4,77480,101545.6
Mobile,AL,15.5,29.18,36.16,47.25,32240,60694.4,75212.8,98280
Montgomery,AL,15.66,30.05,37.07,48.04,32572.8,62504,77105.6,99923.2
Tuscaloosa,AL,15.75,28.83,35.44,45.82,32760,59966.4,73715.2,95305.6
Fayetteville-Springdale-Rogers,AR,15.45,32.25,42.05,56.6,32136,67080,87464,117728
Fort Smith,AR,15.62,30.33,38.09,50.35,32489.6,63086.4,79227.2,104728
Hot Springs,AR,15.2,30.2,38.01,49.57,31616,62816,79060.8,103105.6
Jonesboro,AR,14.9,29.42,36.57,47.77,30992,61193.6,76065.6,99361.6
Little Rock-North Little Rock-Conway,AR,16.14,30.31,37.88,49.79,33571.2,63044.8,78790.4,103563.2
Pine Bluff,AR,15.01,28.56,35.23,45.54,31220.8,59404.8,73278.4,94723.2
Flagstaff,AZ,18.2,33.33,40.9,53.64,37856,69326.4,85072,111571.2
Lake Havasu City-Kingman,AZ,15.54,29.18,35.49,46.92,32323.2,60694.4,73819.2,97593.6
Phoenix-Mesa-Scottsdale,AZ,17.55,32.08,38.85,51.62,36504,66726.4,80808,107369.6
Prescott,AZ,15.91,31.47,39.04,51.85,33092.8,65457.6,81203.2,107848
Sierra Vista-Douglas,AZ,15.67,29.38,36.11,47.87,32593.6,61110.4,75108.8,99569.6
Tucson,AZ,15.46,30.73,38.21,50.97,32156.8,63918.4,79476.8,106017.6
Yuma,AZ,15.68,29.34,35.65,47.1,32614.4,61027.2,74152,97968
Bakersfield,CA,16.1,34.03,43.4,58.44,33488,70782.4,90272,121555.2
Chico,CA,16.74,36.08,45.84,61.89,34819.2,75046.4,95347.2,128731.2
El Centro,CA,15.92,34.32,43.31,57.7,33113.6,71385.6,90084.8,120016
Fresno,CA,16.53,34.91,44.46,59.87,34382.4,72612.8,92476.8,124529.6
Hanford-Corcoran,CA,17.66,34.79,43.87,59.08,36732.8,72363.2,91249.6,122886.4
Los Angeles-Long Beach-Anaheim,CA,21.62,44.19,55.05,73.93,44969.6,91915.2,114504,153774.4
Madera,CA,17.52,35.21,44.42,59.87,36441.6,73236.8,92393.6,124529.6
Merced,CA,16.03,34.6,43.82,59.02,33342.4,71968,91145.6,122761.6
Modesto,CA,17.63,36.02,45.47,61.27,36670.4,74921.6,94577.6,127441.6
Napa,CA,20.81,43.6,54.66,74.32,43284.8,90688,113692.8,154585.6
Oxnard-Thousand Oaks-Ventura,CA,20.36,42.38,52.95,71.8,42348.8,88150.4,110136,149344
