Metro Area,State,0_kids,1_kids,2_kids,3_kids,0_kids_year,1_kids_year,2_kids_year,3_kids_year
Anchorage,AK,24.90,30.10,35.42,39.82,51792,62608,73673.6,82825.6
Fairbanks,AK,25.57,31.00,36.32,41.10,53185.6,64480,75545.6,85488
Anniston-Oxford-Jacksonville,AL,23.53,28.46,33.88,36.40,48942.4,59196.8,70470.4,75712
Auburn-Opelika,AL,24.07,29.18,34.60,37.36,50065.6,60694.4,71968,77708.8
Birmingham-Hoover,AL,25.98,30.67,36.09,39.25,54038.4,63793.6,75067.2,81640
Daphne-Fairhope-Foley,AL,24.77,29.87,35.30,38.57,51521.6,62129.6,73424,80225.6
Decatur_one,AL,23.71,28.35,33.77,36.27,49316.8,58968,70241.6,75441.6
Dothan,AL,23.50,28.28,33.70,36.20,48880,58822.4,70096,75296
Florence-Muscle Shoals,AL,23.75,28.64,34.06,36.40,49400,59571.2,70844.8,75712
Gadsden,AL,23.61,28.42,33.84,36.10,49108.8,59113.6,70387.2,75088
Huntsville,AL,24.53,29.16,34.58,37.43,51022.4,60652.8,71926.4,77854.4
Mobile,AL,24.13,28.95,34.37,37.19,50190.4,60216,71489.6,77355.2
Montgomery,AL,25.08,29.78,35.20,37.85,52166.4,61942.4,73216,78728
Tuscaloosa,AL,24.29,28.97,34.39,36.87,50523.2,60257.6,71531.2,76689.6
Fayetteville-Springdale-Rogers,AR,24.17,29.29,34.77,38.23,50273.6,60923.2,72321.6,79518.4
Fort Smith,AR,24.07,29.38,34.86,38.05,50065.6,61110.4,72508.8,79144
Hot Springs,AR,23.90,29.21,34.69,37.14,49712,60756.8,72155.2,77251.2
Jonesboro,AR,23.90,29.09,34.58,37.31,49712,60507.2,71926.4,77604.8
Little Rock-North Little Rock-Conway,AR,24.81,29.55,35.04,38.07,51604.8,61464,72883.2,79185.6
Pine Bluff,AR,23.52,28.71,34.19,36.52,48921.6,59716.8,71115.2,75961.6
Flagstaff,AZ,27.07,32.67,38.26,42.13,56305.6,67953.6,79580.8,87630.4
Lake Havasu City-Kingman,AZ,24.44,29.78,35.37,39.19,50835.2,61942.4,73569.6,81515.2
Phoenix-Mesa-Scottsdale,AZ,26.85,32.21,37.81,42.50,55848,66996.8,78644.8,88400
Prescott,AZ,25.12,30.80,36.40,40.34,52249.6,64064,75712,83907.2
Sierra Vista-Douglas,AZ,24.04,29.56,35.15,38.88,50003.2,61484.8,73112,80870.4
Tucson,AZ,24.46,30.16,35.75,39.73,50876.8,62732.8,74360,82638.4
