Metro Area,State,0_kids,1_kids,2_kids,3_kids,0_kids_year,1_kids_year,2_kids_year,3_kids_year
Anchorage,AK,12.29,17.56,22.73,27.43,25563.2,36524.8,47278.4,57054.4
Fairbanks,AK,12.35,18.45,24.07,29.41,25688,38376,50065.6,61172.8
Anniston-Oxford-Jacksonville,AL,11.53,15.71,19.90,22.65,23982.4,32676.8,41392,47112
Auburn-Opelika,AL,11.91,16.61,21.34,24.75,24772.8,34548.8,44387.2,51480
Birmingham-Hoover,AL,12.80,17.33,22.04,25.62,26624,36046.4,45843.2,53289.6
Daphne-Fairhope-Foley,AL,12.37,16.85,21.47,25.01,25729.6,35048,44657.6,52020.8
Decatur,AL,11.62,16.23,21.00,24.31,24169.6,33758.4,43680,50564.8
Dothan,AL,11.72,15.62,19.81,22.55,24377.6,32489.6,41204.8,46904
Florence-Muscle Shoals,AL,11.68,16.38,21.14,24.37,24294.4,34070.4,43971.2,50689.6
Gadsden,AL,11.79,15.55,19.60,22.08,24523.2,32344,40768,45926.4
Huntsville,AL,11.91,16.64,21.40,24.89,24772.8,34611.2,44512,51771.2
Mobile,AL,12.01,16.31,20.86,24.10,24980.8,33924.8,43388.8,50128
Montgomery,AL,12.09,16.74,21.31,24.50,25147.2,34819.2,44324.8,50960
Tuscaloosa,AL,12.13,16.14,20.50,23.39,25230.4,33571.2,42640,48651.2
Fayetteville-Springdale-Rogers,AR,11.94,17.87,23.83,28.79,24835.2,37169.6,49566.4,59883.2
Fort Smith,AR,12.03,16.90,21.86,25.66,25022.4,35152,45468.8,53372.8
Hot Springs,AR,11.82,16.84,21.82,25.27,24585.6,35027.2,45385.6,52561.6
Jonesboro,AR,11.67,16.45,21.10,24.37,24273.6,34216,43888,50689.6
Little Rock-North Little Rock-Conway,AR,12.29,16.89,21.75,25.38,25563.2,35131.2,45240,52790.4
Pine Bluff,AR,11.72,16.02,20.43,23.25,24377.6,33321.6,42494.4,48360
Flagstaff,AZ,13.41,18.43,23.33,27.36,27892.8,38334.4,48526.4,56908.8
Lake Havasu City-Kingman,AZ,11.94,16.36,20.62,24.00,24835.2,34028.8,42889.6,49920
Phoenix-Mesa-Scottsdale,AZ,12.95,17.81,22.30,26.35,26936,37044.8,46384,54808
Prescott,AZ,12.13,17.50,22.40,26.47,25230.4,36400,46592,55057.6
Sierra Vista-Douglas,AZ,12.01,16.46,20.93,24.48,24980.8,34236.8,43534.4,50918.4
Tucson,AZ,11.90,17.13,21.98,26.03,24752,35630.4,45718.4,54142.4
Yuma,AZ,12.01,16.43,20.70,24.09,24980.8,34174.4,43056,50107.2
Bakersfield,CA,12.94,18.90,24.77,29.80,26915.2,39312,51521.6,61984
Chico,CA,27.14,33.69,39.66,44.56,56451.2,70075.2,82492.8,92684.8
El Centro,CA,26.44,32.70,38.67,42.70,54995.2,68016,80433.6,88816
Fresno,CA,13.16,19.34,25.30,30.51,27372.8,40227.2,52624,63460.8
Hanford-Corcoran,CA,13.53,19.28,25.01,30.12,28142.4,40102.4,52020.8,62649.6
Los Angeles-Long Beach-Anaheim,CA,15.82,23.98,30.60,37.54,32905.6,49878.4,63648,78083.2
Madera,CA,13.46,19.49,25.28,30.51,27996.8,40539.2,52582.4,63460.8
Merced,CA,12.90,19.19,24.98,30.09,26832,39915.2,51958.4,62587.2
Modesto,CA,13.52,19.89,25.80,31.21,28121.6,41371.2,53664,64916.8
Napa,CA,15.40,23.68,30.40,37.74,32032,49254.4,63232,78499.2
Oxnard-Thousand Oaks-Ventura,CA,15.17,23.08,29.54,36.48,31553.6,48006.4,61443.2,75878.4
Redding,CA,13.20,19.76,25.56,30.93,27456,41100.8,53164.8,64334.4
Sacramento--Roseville--Arden-Arcade,CA,14.15,21.28,27.56,33.85,29432,44262.4,57324.8,70408
Salinas,CA,15.47,22.12,28.11,34.60,32177.6,46009.6,58468.8,71968
San Diego-Carlsbad,CA,15.95,23.83,30.30,37.59,33176,49566.4,63024,78187.2
San Francisco-Oakland-Hayward,CA,17.54,27.84,35.56,44.23,36483.2,57907.2,73964.8,91998.4
San Jose-Sunnyvale-Santa Clara,CA,18.66,28.26,35.82,44.45,38812.8,58780.8,74505.6,92456
San Luis Obispo-Paso Robles-Arroyo Grande,CA,14.54,21.95,28.26,34.86,30243.2,45656,58780.8,72508.8
Santa Cruz-Watsonville,CA,17.89,27.32,33.90,41.55,37211.2,56825.6,70512,86424
Santa Maria-Santa Barbara,CA,16.89,24.75,31.19,38.08,35131.2,51480,64875.2,79206.4
Santa Rosa,CA,15.44,23.56,30.24,37.62,32115.2,49004.8,62899.2,78249.6
Stockton-Lodi,CA,13.35,20.25,26.33,32.07,27768,42120,54766.4,66705.6
Vallejo-Fairfield,CA,14.62,21.71,27.96,34.42,30409.6,45156.8,58156.8,71593.6
Visalia-Porterville,CA,12.90,18.73,24.47,29.22,26832,38958.4,50897.6,60777.6
Yuba City,CA,13.46,19.47,25.35,30.63,27996.8,40497.6,52728,63710.4
Riverside-San Bernardino-Ontario,CA,13.76,20.59,26.58,32.13,28620.8,42827.2,55286.4,66830.4
Boulder,CO,14.74,22.00,28.88,35.74,30659.2,45760,60070.4,74339.2
Colorado Springs,CO,13.03,18.92,24.58,29.80,27102.4,39353.6,51126.4,61984
Denver-Aurora-Lakewood,CO,14.39,20.98,27.28,33.35,29931.2,43638.4,56742.4,69368
Fort Collins,CO,13.77,19.92,26.04,31.95,28641.6,41433.6,54163.2,66456
Grand Junction,CO,12.60,18.18,23.74,28.58,26208,37814.4,49379.2,59446.4
Greeley,CO,13.14,18.99,24.78,30.10,27331.2,39499.2,51542.4,62608
Pueblo,CO,12.45,17.25,22.53,26.54,25896,35880,46862.4,55203.2
Bridgeport-Stamford-Norwalk,CT,14.12,21.44,27.94,33.32,29369.6,44595.2,58115.2,69305.6
Hartford-West Hartford-East Hartford,CT,13.26,19.53,25.42,29.84,27580.8,40622.4,52873.6,62067.2
New Haven-Milford,CT,13.52,19.70,25.70,30.19,28121.6,40976,53456,62795.2
Norwich-New London,CT,12.97,18.78,24.35,28.57,26977.6,39062.4,50648,59425.6
Washington-Arlington-Alexandria,DC,15.77,23.05,29.81,36.06,32801.6,47944,62004.8,75004.8
Dover,DE,13.01,18.34,23.40,27.86,27060.8,38147.2,48672,57948.8
Cape Coral-Fort Myers,FL,12.53,17.98,23.04,27.21,26062.4,37398.4,47923.2,56596.8
Crestview-Fort Walton Beach-Destin,FL,12.53,17.52,22.38,26.45,26062.4,36441.6,46550.4,55016
Deltona-Daytona Beach-Ormond Beach,FL,11.77,17.31,22.17,26.11,24481.6,36004.8,46113.6,54308.8
Gainesville,FL,11.77,16.95,21.81,25.54,24481.6,35256,45364.8,53123.2
Homosassa Springs,FL,11.62,16.65,21.39,25.31,24169.6,34632,44491.2,52644.8
Jacksonville,FL,11.90,17.67,22.72,26.80,24752,36753.6,47257.6,55744
Lakeland-Winter Haven,FL,12.07,17.01,21.68,25.42,25105.6,35380.8,45094.4,52873.6
Miami-Fort Lauderdale-West Palm Beach,FL,12.90,19.13,24.26,29.16,26832,39790.4,50460.8,60652.8
Naples-Immokalee-Marco Island,FL,12.59,18.80,24.08,28.64,26187.2,39104,50086.4,59571.2
North Port-Sarasota-Bradenton,FL,12.23,18.42,23.65,28.16,25438.4,38313.6,49192,58572.8
Ocala,FL,11.73,16.83,21.60,25.23,24398.4,35006.4,44928,52478.4
Orlando-Kissimmee-Sanford,FL,12.95,18.46,23.58,27.91,26936,38396.8,49046.4,58052.8
Palm Bay-Melbourne-Titusville,FL,11.96,17.62,22.53,26.64,24876.8,36649.6,46862.4,55411.2
Panama City,FL,12.50,17.85,22.86,27.26,26000,37128,47548.8,56700.8
Pensacola-Ferry Pass-Brent,FL,12.01,16.96,21.70,25.67,24980.8,35276.8,45136,53393.6
Port St. Lucie,FL,12.52,18.00,23.03,27.32,26041.6,37440,47902.4,56825.6
Punta Gorda,FL,12.09,17.62,22.74,27.24,25147.2,36649.6,47299.2,56659.2
Sebastian-Vero Beach,FL,11.75,17.11,21.76,25.55,24440,35588.8,45260.8,53144
Sebring,FL,11.34,16.49,21.15,24.47,23587.2,34299.2,43992,50897.6
Tallahassee,FL,11.99,17.12,21.92,25.72,24939.2,35609.6,45593.6,53497.6
Tampa-St. Petersburg-Clearwater,FL,12.73,18.38,23.59,27.96,26478.4,38230.4,49067.2,58156.8
The Villages,FL,11.81,17.06,22.04,26.02,24564.8,35484.8,45843.2,54121.6
Albany,GA,12.07,16.31,20.81,23.88,25105.6,33924.8,43284.8,49670.4
Athens-Clarke County,GA,12.16,16.44,20.95,24.23,25292.8,34195.2,43576,50398.4
Atlanta-Sandy Springs-Roswell,GA,13.40,18.31,23.37,27.28,27872,38084.8,48609.6,56742.4
Augusta-Richmond County,GA,12.06,16.41,20.89,24.17,25084.8,34132.8,43451.2,50273.6
Brunswick,GA,12.22,16.44,20.89,24.27,25417.6,34195.2,43451.2,50481.6
Columbus,GA,12.00,16.37,20.85,24.06,24960,34049.6,43368,50044.8
Dalton,GA,11.67,16.22,20.74,23.94,24273.6,33737.6,43139.2,49795.2
Gainesville,GA,12.51,17.61,22.78,26.80,26020.8,36628.8,47382.4,55744
Hinesville,GA,12.48,16.67,21.13,24.72,25958.4,34673.6,43950.4,51417.6
Macon-Bibb County,GA,11.64,16.27,20.74,23.71,24211.2,33841.6,43139.2,49316.8
Rome,GA,12.02,16.38,20.90,24.14,25001.6,34070.4,43472,50211.2
Savannah,GA,12.93,17.31,21.83,25.51,26894.4,36004.8,45406.4,53060.8
Valdosta,GA,11.89,16.25,20.71,24.06,24731.2,33800,43076.8,50044.8
Warner Robins,GA,12.35,16.92,21.56,24.98,25688,35193.6,44844.8,51958.4
Kahului-Wailuku-Lahaina,HI,15.19,21.18,26.62,32.24,31595.2,44054.4,55369.6,67059.2
Urban Honolulu,HI,15.60,22.70,28.55,35.34,32448,47216,59384,73507.2
Ames,IA,12.43,17.11,22.39,25.98,25854.4,35588.8,46571.2,54038.4
