OCC_TITLE,ANNUAL_MEAN,A_PCT10,A_PCT25,A_PCT75
All Occupations,58260,23980,29950,68590
Management Occupations,123370,47860,74710,160960
Top Executives,120520,41260,60900,160540
General and Operations Managers,115250,43260,60690,151750
Legislators,57110,17850,22880,78510
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",145130,63270,95140,177360
Advertising and Promotions Managers,142860,61250,94020,172210
Marketing and Sales Managers,146600,63350,95530,187100
Marketing Managers,153440,77680,100010,192520
Sales Managers,142390,61090,84450,173010
Public Relations and Fundraising Managers,132800,62940,81880,163000
Public Relations Managers,138000,66000,94660,164830
Fundraising Managers,119400,60400,77170,150920
Operations Specialties Managers,139900,73230,95660,165860
Administrative Services and Facilities Managers,109590,59210,76650,129530
Administrative Services Managers,113030,59470,77070,131130
Facilities Managers,101970,59010,74700,125940
Computer and Information Systems Managers,162930,95220,122820,198750
Financial Managers,153460,77040,99620,191860
Industrial Production Managers,117780,64150,80190,134130
Purchasing Managers,134590,77310,98720,162630
"Transportation, Storage, and Distribution Managers",105580,58570,75290,126600
Compensation and Benefits Managers,139470,77040,98720,163870
Human Resources Managers,136590,75000,95310,163360
Training and Development Managers,128800,64370,90980,161520
Other Management Occupations,107230,47040,62520,129820
"Farmers, Ranchers, and Other Agricultural Managers",78440,38200,49940,96520
Construction Managers,108210,60050,76960,127110
Education and Childcare Administrators,99280,48100,73900,124620
"Education and Childcare Administrators, Preschool and Daycare",53800,31200,37200,60010
"Education Administrators, Kindergarten through Secondary",102650,61480,77450,125520
"Education Administrators, Postsecondary",111260,59150,74730,128020
"Education Administrators, All Other",94730,47630,62190,119400
Architectural and Engineering Managers,158970,99350,125470,190420
Food Service Managers,63970,36630,46590,76130
Entertainment and Recreation Managers,76430,37840,48630,94210
Gambling Managers,89190,47580,60150,100170
"Entertainment and Recreation Managers, Except Gambling",73810,37020,47850,90870
Lodging Managers,67770,35530,46400,77510
Medical and Health Services Managers,119840,60780,77750,135750
Natural Sciences Managers,156110,75040,101400,202910
Postmasters and Mail Superintendents,81820,68970,74030,89610
"Property, Real Estate, and Community Association Managers",70030,30740,42420,79420
Social and Community Service Managers,76790,46550,58490,93950
Emergency Management Directors,84800,46670,59350,100450
Personal Service Managers,74360,37060,48500,83560
Funeral Home Managers,82900,42260,50200,97980
"Personal Service Managers, All Other",59580,31350,46700,60890
Miscellaneous Managers,129710,60390,80890,162380
"Managers, All Other",129710,60390,80890,162380
Business and Financial Operations Occupations,82610,39060,53410,100220
Business Operations Specialists,80380,38740,50490,99450
"Agents and Business Managers of Artists, Performers, and Athletes",116410,47370,61160,162930
Buyers and Purchasing Agents,72540,38430,49150,87820
"Claims Adjusters, Appraisers, Examiners, and Investigators",70850,42490,49620,81410
"Claims Adjusters, Examiners, and Investigators",70960,41490,49620,81890
"Insurance Appraisers, Auto Damage",68180,47240,58850,79110
Compliance Officers,75810,38950,50020,96660
Cost Estimators,73740,38880,49600,89210
Human Resources Workers,71210,37570,48140,82720
Human Resources Specialists,70720,37680,48080,81090
Farm Labor Contractors,54400,31990,38140,61700
Labor Relations Specialists,77070,22880,49310,100180
Logisticians and Project Management Specialists,94530,48760,63020,120910
Logisticians,79230,45160,59740,98680
Project Management Specialists,98420,49750,64250,125430
Management Analysts,100530,50190,64150,124430
"Meeting, Convention, and Event Planners",57850,30170,38430,67480
Fundraisers,64870,37020,47250,78470
"Compensation, Benefits, and Job Analysis Specialists",73810,42760,49800,83720
Training and Development Specialists,67620,31340,47040,80510
Market Research Analysts and Marketing Specialists,76080,37570,48400,97600
Miscellaneous Business Operations Specialists,79240,38050,49630,98490
"Business Operations Specialists, All Other",79240,38050,49630,98490
Financial Specialists,87350,43720,59150,101430
Accountants and Auditors,83980,47970,60760,99800
Property Appraisers and Assessors,70050,35520,47040,81050
Budget Analysts,84240,49330,62750,101730
Credit Analysts,88030,47630,60490,101250
Financial Analysts and Advisors,106340,48730,62380,127610
Financial and Investment Analysts,103020,57900,66030,124610
Personal Financial Advisors,119960,47570,61200,158890
Insurance Underwriters,79940,47330,58840,98270
Financial Risk Specialists,110610,59370,77310,131910
Financial Examiners,96180,48830,62320,122030
Credit Counselors and Loan Officers,78040,33290,47040,97070
Credit Counselors,50430,35240,37900,59390
Loan Officers,80570,32520,47490,98130
"Tax Examiners, Collectors and Preparers, and Revenue Agents",55750,28770,35920,69680
"Tax Examiners and Collectors, and Revenue Agents",63200,35260,43590,80580
Tax Preparers,51080,23930,30340,62100
Miscellaneous Financial Specialists,80370,38220,50120,98680
"Financial Specialists, All Other",80370,38220,50120,98680
Computer and Mathematical Occupations,99860,47430,62590,128030
Computer Occupations,99620,47360,62460,128020
Computer and Information Analysts,104840,60900,77750,127740
Computer Systems Analysts,102210,60680,77620,126780
Information Security Analysts,113270,61520,79400,131340
Computer and Information Research Scientists,142650,74210,99140,164280
Computer Support Specialists,60550,36180,45020,76080
Computer Network Support Specialists,71350,38560,48900,80220
Computer User Support Specialists,57650,34220,39380,68130
Database and Network Administrators and Architects,102440,57350,75230,127690
Computer Network Architects,120650,63240,83870,151960
Database Administrators,96550,48880,63160,124550
Database Architects,121840,63260,81110,156140
Network and Computer Systems Administrators,91250,49560,62970,102720
"Software and Web Developers, Programmers, and Testers",113720,60820,79320,132070
Computer Programmers,96650,47560,62840,122600
Software Developers,120990,64470,90870,151960
Software Quality Assurance Analysts and Testers,97710,48960,71910,124550
Web Developers,81320,38280,51100,100670
Web and Digital Interface Designers,95460,38550,57220,126110
Miscellaneous Computer Occupations,98180,45630,61920,127360
"Computer Occupations, All Other",98180,45630,61920,127360
Mathematical Science Occupations,103800,49490,71720,128270
Actuaries,125300,63260,80320,153310
Mathematicians,112430,61760,78850,134780
Operations Research Analysts,95830,48690,61940,119240
Statisticians,99450,49350,70120,125800
Data Scientists,108660,59430,77620,130770
Miscellaneous Mathematical Science Occupations,77960,35460,47330,97080
"Mathematical Science Occupations, All Other",77960,35460,47330,97080
Architecture and Engineering Occupations,91740,47490,61470,112550
"Architects, Surveyors, and Cartographers",82880,46950,60220,99630
"Architects, Except Naval",89400,48240,61810,101260
"Architects, Except Landscape and Naval",91900,48930,62500,102160
Landscape Architects,74980,43260,51420,94310
"Surveyors, Cartographers, and Photogrammetrists",69870,37720,48270,80250
Cartographers and Photogrammetrists,73510,47230,58000,86000
Surveyors,68880,37360,47690,79600
Engineers,104000,61000,77470,127110
Aerospace Engineers,122970,77440,96130,152950
Agricultural Engineers,87350,55810,61740,99880
Bioengineers and Biomedical Engineers,101020,60680,75780,123400
Chemical Engineers,121840,62730,80140,139310
Civil Engineers,95490,60550,74250,117270
Computer Hardware Engineers,136230,77100,99880,164930
Electrical and Electronics Engineers,110670,63180,79610,130280
Electrical Engineers,107890,62360,78500,128560
"Electronics Engineers, Except Computer",115490,73630,81500,133320
Environmental Engineers,100220,59820,74850,126190
"Industrial Engineers, Including Health and Safety",95520,60750,76650,109050
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",99700,58490,76650,126780
Industrial Engineers,95200,60850,76650,105530
Marine Engineers and Naval Architects,97820,56550,76600,118610
Materials Engineers,101950,60580,76650,127110
Mechanical Engineers,97000,60750,76050,120180
"Mining and Geological Engineers, Including Mining Safety Engineers",100450,48690,70110,127530
Nuclear Engineers,121760,75460,93840,136240
Petroleum Engineers,145720,78390,100880,167750
Miscellaneous Engineers,107800,58730,77560,130650
"Engineers, All Other",107800,58730,77560,130650
"Drafters, Engineering Technicians, and Mapping Technicians",62420,37100,47090,76600
Drafters,61680,37390,47370,75800
Architectural and Civil Drafters,60620,37370,47450,74940
Electrical and Electronics Drafters,67090,38120,48460,78700
Mechanical Drafters,62650,37590,47230,76150
"Drafters, All Other",58330,36900,46150,67880
"Engineering Technologists and Technicians, Except Drafters",64600,37440,47490,77380
Aerospace Engineering and Operations Technologists and Technicians,73510,47040,57780,94530
Civil Engineering Technologists and Technicians,58000,36550,42110,73280
Electrical and Electronic Engineering Technologists and Technicians,69070,39840,49330,79080
Electro-Mechanical and Mechatronics Technologists and Technicians,63880,37650,47680,76920
Environmental Engineering Technologists and Technicians,56590,35870,37850,66870
Industrial Engineering Technologists and Technicians,61230,37790,47410,75600
Mechanical Engineering Technologists and Technicians,63390,37670,47700,76600
Calibration Technologists and Technicians,62800,36930,47110,76920
"Engineering Technologists and Technicians, Except Drafters, All Other",68290,37530,47690,81490
Surveying and Mapping Technicians,49810,29770,36960,59790
"Life, Physical, and Social Science Occupations",80730,37830,49460,100230
Life Scientists,93190,48510,62130,115970
Agricultural and Food Scientists,79970,44160,54060,98910
Animal Scientists,80390,46930,52430,89610
Food Scientists and Technologists,84150,45010,60130,101180
Soil and Plant Scientists,76290,39980,50230,93770
Biological Scientists,93970,48550,62470,118210
Biochemists and Biophysicists,113460,61090,79000,132390
Microbiologists,87820,47630,59860,110010
Zoologists and Wildlife Biologists,70300,42420,50520,81690
"Biological Scientists, All Other",90010,48260,62490,104210
Conservation Scientists and Foresters,68080,39430,49930,80910
Conservation Scientists,68230,38670,49340,81500
Foresters,67710,43280,50510,79530
Medical Scientists,102830,50100,62800,129450
Epidemiologists,86740,50100,62350,101600
"Medical Scientists, Except Epidemiologists",104050,50100,62800,130090
Miscellaneous Life Scientists,94430,48620,61830,113400
"Life Scientists, All Other",94430,48620,61830,113400
Physical Scientists,96340,48410,62220,121560
Astronomers and Physicists,150510,77020,105120,181430
Astronomers,139410,61910,80110,172490
Physicists,151580,78870,107030,184280
Atmospheric and Space Scientists,96880,48600,65110,119770
Chemists and Materials Scientists,90330,48330,61880,113140
Chemists,89130,48100,61540,107140
Materials Scientists,104790,56380,77500,130400
Environmental Scientists and Geoscientists,86980,47370,60260,102250
"Environmental Scientists and Specialists, Including Health",81240,46200,58200,99090
"Geoscientists, Except Hydrologists and Geographers",103550,48880,62540,128920
Hydrologists,94780,51120,64670,106440
Miscellaneous Physical Scientists,113220,52060,78320,141540
"Physical Scientists, All Other",113220,52060,78320,141540
Social Scientists and Related Workers,90810,48010,62070,105530
Economists,120830,62460,79760,151110
Survey Researchers,64690,26360,38840,78560
Psychologists,92100,47850,62170,107090
Industrial-Organizational Psychologists,113320,63750,79590,135070
Clinical and Counseling Psychologists,99640,47010,62040,126590
School Psychologists,82770,49260,62070,100040
"Psychologists, All Other",98010,39760,73910,120240
Sociologists,96260,60770,65530,114300
Urban and Regional Planners,81310,48720,61880,99090
Miscellaneous Social Scientists and Related Workers,89840,48330,62470,110550
Anthropologists and Archeologists,66800,37870,48420,78930
Geographers,86740,53410,64740,102060
